"","agegroup","covid_numbers","policies_UK","rp_mean_norm","dospert_beta","objectiverisk_totalscore","numeracy_total","numeracy3","risktaking_mean","rp_individual_mean","rp_other_mean","risktaking_enforced","risktaking_recommendations"
"1","younger",5,6,0.444444444444444,-0.933333333333333,5,11,1,2.375,0.0833333333333333,0.583333333333333,1.5,3.25
"2","younger",3,5,0.777777777777778,-0.915841584158415,2,11,1,1.7,0.5,1,1,2.16666666666667
"3","younger",5,6,0.388888888888889,-0.432432432432432,1,11,1,2.3,0.291666666666667,0.458333333333333,1.5,2.83333333333333
"4","younger",3,3,0.444444444444444,-0.742268041237111,2,9,1,2.9,0.458333333333333,0.625,2.5,3.16666666666667
"5","younger",2,6,0.75,-0.538461538461538,1,8,0,1.88888888888889,0.583333333333333,0.833333333333333,1.33333333333333,2.16666666666667
"6","younger",6,7,0.805555555555556,-0.00000000000000101074702027768,1,11,1,1.9,0.583333333333333,0.916666666666667,1.5,2.16666666666667
"7","younger",3,3,0.777777777777778,-3.5,1,11,1,2.11111111111111,0.583333333333333,0.916666666666667,1,2.66666666666667
"8","younger",3,3,0.777777777777778,-0.312499999999997,0,9,0,2.33333333333333,0.5,0.916666666666667,1.33333333333333,2.83333333333333
"9","younger",3,7,0.902777777777778,-0.000000000000000135973995551052,1,9,1,2.1,0.791666666666667,0.916666666666667,1.25,2.66666666666667
"10","younger",3,3,0.708333333333333,-0.814814814814814,2,10,1,2.22222222222222,0.5,0.708333333333333,1,2.83333333333333
"11","younger",6,5,0.847222222222222,-0.465116279069768,1,10,1,2,0.708333333333333,1,1,2.5
"12","younger",7,7,0.527777777777778,-0.222222222222222,2,10,1,2.8,0.541666666666667,0.916666666666667,2,3.33333333333333
"13","younger",2,7,0.75,NA,2,10,1,1.2,0.5,0.75,1,1.33333333333333
"14","younger",6,5,0.472222222222222,-0.673913043478261,1,6,0,2.1,0.208333333333333,0.583333333333333,1.25,2.66666666666667
"15","younger",3,7,0.694444444444444,0.0250000000000015,0,10,1,1.22222222222222,0.5,0.75,1,1.33333333333333
